[pyrunlim] version:		2.16
[pyrunlim] time limit:		3600 seconds
[pyrunlim] memory limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] real time limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
[pyrunlim] swap limit:		10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] pyrunlim cpu affin.:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] cpu affinity:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] nice:		20
[pyrunlim] running:		bash -c "./wrapper_clingo.py solution_10_8_n7 /home/emarolab/ASP/CAPF/ASP/clingo/data/10_8/10_8_n7.asp 10_8"
[pyrunlim] start:		Fri Jan 19 02:48:54 2018
[pyrunlim] columns:		real (s)	user (s)	sys (s)  	max memory (MB)	rss (MB)   	swap (MB)
[pyrunlim] sample:		    10.438	    10.400	     0.000	      64.7	      64.7	       0.0
[pyrunlim] sample:		    20.205	    20.160	     0.000	      64.7	      64.7	       0.0
[pyrunlim] sample:		    30.865	    30.820	     0.000	      64.7	      64.7	       0.0
[pyrunlim] sample:		    41.012	    40.970	     0.000	      64.7	      64.7	       0.0
[pyrunlim] sample:		    50.144	    50.100	     0.000	      64.7	      64.7	       0.0
[pyrunlim] sample:		    60.291	    60.250	     0.000	      65.0	      65.0	       0.0
[pyrunlim] sample:		    70.437	    70.400	     0.000	      65.0	      65.0	       0.0
[pyrunlim] sample:		    80.585	    80.540	     0.000	      65.0	      65.0	       0.0
[pyrunlim] sample:		    90.732	    90.690	     0.000	      67.0	      67.0	       0.0
[pyrunlim] sample:		   100.880	   100.840	     0.000	      67.0	      67.0	       0.0
[pyrunlim] sample:		   110.013	   109.970	     0.000	      67.0	      67.0	       0.0
[pyrunlim] sample:		   120.161	   120.120	     0.000	      67.0	      67.0	       0.0
[pyrunlim] sample:		   130.309	   130.270	     0.000	      67.0	      67.0	       0.0
[pyrunlim] sample:		   140.457	   140.410	     0.000	      67.0	      67.0	       0.0
[pyrunlim] sample:		   150.604	   150.560	     0.000	      67.0	      67.0	       0.0
[pyrunlim] sample:		   160.752	   160.710	     0.000	      67.0	      67.0	       0.0
[pyrunlim] sample:		   170.899	   170.860	     0.000	      67.0	      67.0	       0.0
[pyrunlim] sample:		   180.032	   179.990	     0.000	      67.0	      67.0	       0.0
