[pyrunlim] version:		2.16
[pyrunlim] time limit:		3600 seconds
[pyrunlim] memory limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] real time limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
[pyrunlim] swap limit:		10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] pyrunlim cpu affin.:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] cpu affinity:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] nice:		20
[pyrunlim] running:		bash -c "./wrapper_clingo.py solution_11_9_n6 /home/emarolab/ASP/CAPF/ASP/clingo/data/11_9/11_9_n6.asp 11_9"
[pyrunlim] start:		Wed Jan 17 14:29:06 2018
[pyrunlim] columns:		real (s)	user (s)	sys (s)  	max memory (MB)	rss (MB)   	swap (MB)
[pyrunlim] sample:		    10.495	    10.440	     0.020	     117.6	     117.6	       0.0
[pyrunlim] sample:		    20.288	    20.240	     0.020	     117.6	     117.6	       0.0
[pyrunlim] sample:		    30.973	    30.920	     0.020	     118.1	     118.1	       0.0
[pyrunlim] sample:		    40.189	    40.140	     0.020	     118.1	     118.1	       0.0
[pyrunlim] sample:		    50.351	    50.300	     0.020	     123.0	     123.0	       0.0
[pyrunlim] sample:		    60.513	    60.460	     0.020	     123.0	     123.0	       0.0
[pyrunlim] sample:		    70.677	    70.620	     0.020	     123.0	     123.0	       0.0
[pyrunlim] sample:		    80.842	    80.790	     0.020	     123.0	     123.0	       0.0
[pyrunlim] sample:		    91.007	    90.950	     0.020	     123.0	     123.0	       0.0
[pyrunlim] sample:		   100.154	   100.100	     0.020	     123.0	     123.0	       0.0
[pyrunlim] sample:		   110.317	   110.260	     0.020	     123.0	     123.0	       0.0
[pyrunlim] sample:		   120.479	   120.430	     0.020	     123.0	     123.0	       0.0
[pyrunlim] sample:		   130.643	   130.590	     0.020	     123.0	     123.0	       0.0
[pyrunlim] sample:		   140.804	   140.750	     0.020	     123.0	     123.0	       0.0
[pyrunlim] sample:		   150.968	   150.910	     0.020	     123.0	     123.0	       0.0
[pyrunlim] sample:		   160.113	   160.060	     0.020	     123.0	     123.0	       0.0
[pyrunlim] sample:		   170.276	   170.220	     0.020	     123.0	     123.0	       0.0
[pyrunlim] sample:		   180.439	   180.390	     0.020	     123.0	     123.0	       0.0
[pyrunlim] sample:		   190.635	   190.580	     0.020	     123.0	     123.0	       0.0
[pyrunlim] sample:		   200.803	   200.740	     0.020	     123.0	     123.0	       0.0
[pyrunlim] sample:		   210.964	   210.910	     0.020	     123.0	     123.0	       0.0
[pyrunlim] sample:		   220.107	   220.050	     0.020	     123.0	     123.0	       0.0
[pyrunlim] sample:		   230.269	   230.210	     0.020	     126.9	     126.9	       0.0
[pyrunlim] sample:		   240.429	   240.370	     0.020	     126.9	     126.9	       0.0
[pyrunlim] sample:		   250.590	   250.530	     0.020	     126.9	     126.9	       0.0
[pyrunlim] sample:		   260.752	   260.700	     0.020	     126.9	     126.9	       0.0
[pyrunlim] sample:		   270.916	   270.860	     0.020	     126.9	     126.9	       0.0
[pyrunlim] sample:		   280.067	   280.010	     0.020	     126.9	     126.9	       0.0
[pyrunlim] sample:		   290.231	   290.170	     0.020	     126.9	     126.9	       0.0
[pyrunlim] sample:		   300.395	   300.340	     0.020	     126.9	     126.9	       0.0
[pyrunlim] sample:		   310.559	   310.500	     0.020	     126.9	     126.9	       0.0
[pyrunlim] sample:		   320.720	   320.660	     0.020	     127.9	     127.9	       0.0
[pyrunlim] sample:		   330.882	   330.820	     0.020	     127.9	     127.9	       0.0
[pyrunlim] sample:		   340.027	   339.970	     0.020	     127.9	     127.9	       0.0
[pyrunlim] sample:		   350.188	   350.130	     0.020	     127.9	     127.9	       0.0
[pyrunlim] sample:		   360.385	   360.330	     0.020	     127.9	     127.9	       0.0
[pyrunlim] sample:		   370.609	   370.550	     0.020	     127.9	     127.9	       0.0
[pyrunlim] sample:		   380.769	   380.710	     0.020	     127.9	     127.9	       0.0
[pyrunlim] sample:		   390.933	   390.870	     0.020	     127.9	     127.9	       0.0
[pyrunlim] sample:		   400.080	   400.020	     0.020	     127.9	     127.9	       0.0
[pyrunlim] sample:		   410.244	   410.170	     0.030	     130.2	     130.2	       0.0
[pyrunlim] sample:		   420.407	   420.330	     0.030	     130.2	     130.2	       0.0
[pyrunlim] sample:		   430.572	   430.500	     0.030	     130.2	     130.2	       0.0
[pyrunlim] sample:		   440.736	   440.660	     0.030	     130.2	     130.2	       0.0
[pyrunlim] sample:		   450.901	   450.820	     0.030	     130.2	     130.2	       0.0
[pyrunlim] sample:		   460.046	   459.960	     0.040	     135.9	     135.9	       0.0
[pyrunlim] sample:		   470.210	   470.130	     0.040	     136.1	     136.1	       0.0
[pyrunlim] sample:		   480.373	   480.290	     0.040	     136.1	     136.1	       0.0
[pyrunlim] sample:		   490.536	   490.460	     0.040	     136.1	     136.1	       0.0
[pyrunlim] sample:		   500.699	   500.620	     0.040	     136.1	     136.1	       0.0
[pyrunlim] sample:		   510.865	   510.780	     0.040	     136.1	     136.1	       0.0
[pyrunlim] sample:		   520.012	   519.930	     0.040	     136.1	     136.1	       0.0
[pyrunlim] sample:		   530.181	   530.090	     0.040	     136.1	     136.1	       0.0
[pyrunlim] sample:		   540.350	   540.260	     0.040	     136.1	     136.1	       0.0
[pyrunlim] sample:		   550.513	   550.430	     0.040	     136.1	     136.1	       0.0
[pyrunlim] sample:		   560.676	   560.590	     0.040	     136.1	     136.1	       0.0
[pyrunlim] sample:		   570.840	   570.750	     0.040	     136.1	     136.1	       0.0
[pyrunlim] sample:		   581.002	   580.910	     0.040	     136.1	     136.1	       0.0
[pyrunlim] sample:		   590.152	   590.070	     0.040	     136.1	     136.1	       0.0
[pyrunlim] sample:		   600.318	   600.230	     0.040	     136.1	     136.1	       0.0
[pyrunlim] sample:		   610.487	   610.400	     0.040	     136.1	     136.1	       0.0
[pyrunlim] sample:		   620.652	   620.560	     0.040	     136.1	     136.1	       0.0
[pyrunlim] sample:		   630.820	   630.730	     0.040	     136.1	     136.1	       0.0
[pyrunlim] sample:		   640.985	   640.900	     0.040	     136.1	     136.1	       0.0
[pyrunlim] sample:		   650.148	   650.060	     0.040	     136.1	     136.1	       0.0
[pyrunlim] sample:		   660.329	   660.240	     0.040	     136.1	     136.1	       0.0
[pyrunlim] sample:		   670.492	   670.400	     0.040	     136.1	     136.1	       0.0
[pyrunlim] sample:		   680.672	   680.580	     0.040	     136.1	     136.1	       0.0
[pyrunlim] sample:		   690.843	   690.760	     0.040	     136.1	     136.1	       0.0
[pyrunlim] sample:		   701.008	   700.920	     0.040	     136.1	     136.1	       0.0
[pyrunlim] sample:		   710.156	   710.070	     0.040	     136.1	     136.1	       0.0
[pyrunlim] sample:		   720.318	   720.230	     0.040	     136.1	     136.1	       0.0
[pyrunlim] sample:		   730.485	   730.390	     0.040	     136.1	     136.1	       0.0
[pyrunlim] sample:		   740.650	   740.560	     0.040	     136.1	     136.1	       0.0
[pyrunlim] sample:		   750.812	   750.720	     0.040	     136.1	     136.1	       0.0
[pyrunlim] sample:		   760.976	   760.890	     0.040	     136.1	     136.1	       0.0
[pyrunlim] sample:		   770.123	   770.030	     0.040	     136.1	     136.1	       0.0
[pyrunlim] sample:		   780.287	   780.190	     0.040	     136.1	     136.1	       0.0
[pyrunlim] sample:		   790.448	   790.360	     0.040	     136.1	     136.1	       0.0
[pyrunlim] sample:		   800.609	   800.520	     0.040	     136.1	     136.1	       0.0
[pyrunlim] sample:		   810.772	   810.680	     0.040	     136.1	     136.1	       0.0
[pyrunlim] sample:		   820.932	   820.840	     0.040	     136.1	     136.1	       0.0
[pyrunlim] sample:		   830.080	   829.990	     0.040	     136.1	     136.1	       0.0
[pyrunlim] sample:		   840.247	   840.150	     0.040	     136.1	     136.1	       0.0
[pyrunlim] sample:		   850.413	   850.320	     0.040	     136.1	     136.1	       0.0
[pyrunlim] sample:		   860.576	   860.480	     0.040	     136.1	     136.1	       0.0
[pyrunlim] sample:		   870.740	   870.650	     0.040	     136.1	     136.1	       0.0
[pyrunlim] sample:		   880.903	   880.810	     0.040	     136.1	     136.1	       0.0
[pyrunlim] sample:		   890.053	   889.960	     0.040	     136.1	     136.1	       0.0
