[pyrunlim] version:		2.16
[pyrunlim] time limit:		3600 seconds
[pyrunlim] memory limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] real time limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
[pyrunlim] swap limit:		10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] pyrunlim cpu affin.:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] cpu affinity:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] nice:		20
[pyrunlim] running:		bash -c "./wrapper_clingo.py solution_13_8_n4 /home/emarolab/ASP/CAPF/ASP/clingo/data/13_8/13_8_n4.asp 13_8"
[pyrunlim] start:		Sat Jan 20 02:14:54 2018
[pyrunlim] columns:		real (s)	user (s)	sys (s)  	max memory (MB)	rss (MB)   	swap (MB)
[pyrunlim] sample:		    10.084	     0.040	     0.000	      19.5	       9.9	       0.0
[pyrunlim] sample:		    20.433	     1.850	     0.010	      60.5	       9.9	       0.0
[pyrunlim] sample:		    30.095	     8.700	     0.020	      68.0	       9.9	       0.0
[pyrunlim] sample:		    40.246	    18.130	     0.030	      76.1	      76.1	       0.0
[pyrunlim] sample:		    50.405	    26.040	     0.040	      82.7	      82.7	       0.0
[pyrunlim] sample:		    60.557	    36.200	     0.040	      82.8	      82.8	       0.0
[pyrunlim] sample:		    70.710	    46.350	     0.040	      82.8	      82.8	       0.0
[pyrunlim] sample:		    80.863	    56.500	     0.040	      82.8	      82.8	       0.0
[pyrunlim] sample:		    90.000	    65.640	     0.040	      82.8	      82.8	       0.0
[pyrunlim] sample:		   100.153	    75.790	     0.040	      82.8	      82.8	       0.0
[pyrunlim] sample:		   110.306	    85.940	     0.040	      82.8	      82.8	       0.0
[pyrunlim] sample:		   120.459	    96.100	     0.040	      82.8	      82.8	       0.0
[pyrunlim] sample:		   130.620	   103.840	     0.050	      90.3	      90.3	       0.0
[pyrunlim] sample:		   140.773	   113.990	     0.050	      90.8	      90.8	       0.0
[pyrunlim] sample:		   150.926	   124.150	     0.050	     106.0	     106.0	       0.0
[pyrunlim] sample:		   160.065	   133.290	     0.050	     106.0	     106.0	       0.0
[pyrunlim] sample:		   170.219	   143.440	     0.050	     106.0	     106.0	       0.0
[pyrunlim] sample:		   180.374	   153.590	     0.050	     106.0	     106.0	       0.0
[pyrunlim] sample:		   190.529	   163.750	     0.050	     106.0	     106.0	       0.0
[pyrunlim] sample:		   200.683	   173.900	     0.050	     106.0	     106.0	       0.0
[pyrunlim] sample:		   210.837	   184.060	     0.050	     106.0	     106.0	       0.0
[pyrunlim] sample:		   220.991	   194.210	     0.050	     106.0	     106.0	       0.0
[pyrunlim] sample:		   230.129	   203.350	     0.050	     106.0	     106.0	       0.0
[pyrunlim] sample:		   240.283	   213.510	     0.050	     106.0	     106.0	       0.0
[pyrunlim] sample:		   250.439	   223.660	     0.050	     106.0	     106.0	       0.0
[pyrunlim] sample:		   260.593	   233.810	     0.050	     106.0	     106.0	       0.0
[pyrunlim] sample:		   270.747	   243.960	     0.050	     106.0	     106.0	       0.0
[pyrunlim] sample:		   280.901	   254.120	     0.050	     106.0	     106.0	       0.0
[pyrunlim] sample:		   290.040	   263.260	     0.050	     106.0	     106.0	       0.0
[pyrunlim] sample:		   300.194	   273.410	     0.050	     106.0	     106.0	       0.0
[pyrunlim] sample:		   310.349	   283.570	     0.050	     106.0	     106.0	       0.0
[pyrunlim] sample:		   320.503	   293.720	     0.050	     106.0	     106.0	       0.0
[pyrunlim] sample:		   330.658	   303.880	     0.050	     106.0	     106.0	       0.0
[pyrunlim] sample:		   340.812	   314.030	     0.050	     106.0	     106.0	       0.0
[pyrunlim] sample:		   350.967	   324.180	     0.050	     106.0	     106.0	       0.0
[pyrunlim] sample:		   360.106	   333.320	     0.050	     106.0	     106.0	       0.0
[pyrunlim] sample:		   370.261	   343.480	     0.050	     106.0	     106.0	       0.0
[pyrunlim] sample:		   380.416	   353.640	     0.050	     106.0	     106.0	       0.0
[pyrunlim] sample:		   390.571	   363.790	     0.050	     106.0	     106.0	       0.0
[pyrunlim] sample:		   400.725	   373.940	     0.050	     106.0	     106.0	       0.0
[pyrunlim] sample:		   410.879	   384.100	     0.050	     106.0	     106.0	       0.0
[pyrunlim] sample:		   420.018	   393.240	     0.050	     106.0	     106.0	       0.0
[pyrunlim] sample:		   430.172	   403.390	     0.050	     106.0	     106.0	       0.0
[pyrunlim] sample:		   440.326	   413.530	     0.050	     106.0	     106.0	       0.0
