[pyrunlim] version:		2.16
[pyrunlim] time limit:		3600 seconds
[pyrunlim] memory limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] real time limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
[pyrunlim] swap limit:		10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] pyrunlim cpu affin.:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] cpu affinity:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] nice:		20
[pyrunlim] running:		bash -c "./wrapper_clingo.py solution_14_6_n3 /home/emarolab/ASP/CAPF/ASP/clingo/data/14_6/14_6_n3.asp 14_6"
[pyrunlim] start:		Tue Jan 16 23:43:35 2018
[pyrunlim] columns:		real (s)	user (s)	sys (s)  	max memory (MB)	rss (MB)   	swap (MB)
[pyrunlim] sample:		    10.202	    10.160	     0.010	      52.7	      52.7	       0.0
[pyrunlim] sample:		    20.497	    20.450	     0.020	      60.9	      54.1	       0.0
[pyrunlim] sample:		    30.151	    30.100	     0.020	      60.9	      54.1	       0.0
[pyrunlim] sample:		    40.303	    40.250	     0.020	      60.9	      54.1	       0.0
[pyrunlim] sample:		    50.517	    50.470	     0.020	      60.9	      54.1	       0.0
[pyrunlim] sample:		    60.761	    60.710	     0.020	      60.9	      55.7	       0.0
[pyrunlim] sample:		    71.002	    70.950	     0.020	      60.9	      59.3	       0.0
[pyrunlim] sample:		    80.221	    80.160	     0.020	      60.9	      59.3	       0.0
[pyrunlim] sample:		    90.465	    90.410	     0.020	      60.9	      59.3	       0.0
[pyrunlim] sample:		   100.688	   100.630	     0.020	      60.9	      59.8	       0.0
[pyrunlim] sample:		   110.840	   110.780	     0.020	      60.9	      59.8	       0.0
[pyrunlim] sample:		   120.995	   120.940	     0.020	      60.9	      59.8	       0.0
[pyrunlim] sample:		   130.136	   130.080	     0.020	      60.9	      59.8	       0.0
[pyrunlim] sample:		   140.290	   140.240	     0.020	      62.1	      62.1	       0.0
[pyrunlim] sample:		   150.446	   150.390	     0.020	      62.1	      62.1	       0.0
[pyrunlim] sample:		   160.601	   160.540	     0.020	      62.1	      62.1	       0.0
[pyrunlim] sample:		   170.756	   170.700	     0.020	      63.1	      63.1	       0.0
[pyrunlim] sample:		   180.911	   180.860	     0.020	      66.5	      66.5	       0.0
[pyrunlim] sample:		   190.050	   189.990	     0.020	      66.5	      66.5	       0.0
[pyrunlim] sample:		   200.207	   200.150	     0.020	      66.5	      66.5	       0.0
[pyrunlim] sample:		   210.364	   210.310	     0.020	      66.5	      66.5	       0.0
[pyrunlim] sample:		   220.520	   220.460	     0.020	      66.5	      66.5	       0.0
[pyrunlim] sample:		   230.674	   230.620	     0.020	      66.5	      66.5	       0.0
[pyrunlim] sample:		   240.827	   240.770	     0.020	      66.5	      66.5	       0.0
[pyrunlim] sample:		   250.980	   250.920	     0.020	      66.5	      66.5	       0.0
[pyrunlim] sample:		   260.122	   260.070	     0.020	      68.0	      68.0	       0.0
[pyrunlim] sample:		   270.277	   270.220	     0.020	      68.5	      68.5	       0.0
[pyrunlim] sample:		   280.430	   280.370	     0.020	      71.6	      71.6	       0.0
[pyrunlim] sample:		   290.583	   290.530	     0.020	      71.6	      71.6	       0.0
[pyrunlim] sample:		   300.741	   300.680	     0.020	      71.6	      71.6	       0.0
[pyrunlim] sample:		   310.896	   310.840	     0.020	      71.6	      71.6	       0.0
[pyrunlim] sample:		   320.035	   319.980	     0.020	      71.6	      71.6	       0.0
[pyrunlim] sample:		   330.192	   330.130	     0.020	      71.6	      71.6	       0.0
[pyrunlim] sample:		   340.350	   340.290	     0.020	      71.6	      71.6	       0.0
[pyrunlim] sample:		   350.507	   350.450	     0.020	      71.6	      71.6	       0.0
[pyrunlim] sample:		   360.665	   360.600	     0.020	      71.6	      71.6	       0.0
[pyrunlim] sample:		   370.822	   370.760	     0.020	      71.6	      71.6	       0.0
[pyrunlim] sample:		   380.980	   380.920	     0.020	      71.6	      71.6	       0.0
[pyrunlim] sample:		   390.122	   390.060	     0.020	      71.6	      71.6	       0.0
[pyrunlim] sample:		   400.279	   400.220	     0.020	      71.6	      71.6	       0.0
[pyrunlim] sample:		   410.437	   410.380	     0.020	      71.6	      71.6	       0.0
[pyrunlim] sample:		   420.595	   420.540	     0.020	      71.6	      71.6	       0.0
[pyrunlim] sample:		   430.752	   430.680	     0.030	      76.3	      76.3	       0.0
[pyrunlim] sample:		   440.909	   440.840	     0.030	      76.3	      76.3	       0.0
[pyrunlim] sample:		   450.052	   449.980	     0.030	      76.3	      76.3	       0.0
[pyrunlim] sample:		   460.210	   460.140	     0.030	      76.3	      76.3	       0.0
[pyrunlim] sample:		   470.370	   470.300	     0.030	      76.3	      76.3	       0.0
[pyrunlim] sample:		   480.527	   480.460	     0.030	      76.3	      76.3	       0.0
[pyrunlim] sample:		   490.684	   490.610	     0.030	      76.3	      76.3	       0.0
[pyrunlim] sample:		   500.840	   500.770	     0.030	      76.3	      76.3	       0.0
[pyrunlim] sample:		   510.994	   510.930	     0.030	      76.3	      76.3	       0.0
[pyrunlim] sample:		   520.134	   520.070	     0.030	      76.3	      76.3	       0.0
[pyrunlim] sample:		   530.288	   530.220	     0.030	      76.3	      76.3	       0.0
[pyrunlim] sample:		   540.442	   540.370	     0.030	      81.7	      81.7	       0.0
[pyrunlim] sample:		   550.598	   550.530	     0.030	      81.7	      81.7	       0.0
[pyrunlim] sample:		   560.753	   560.690	     0.030	      81.7	      81.7	       0.0
[pyrunlim] sample:		   570.908	   570.840	     0.030	      81.7	      81.7	       0.0
[pyrunlim] sample:		   580.048	   579.980	     0.030	      81.7	      81.7	       0.0
[pyrunlim] sample:		   590.203	   590.130	     0.030	      81.7	      81.7	       0.0
[pyrunlim] sample:		   600.357	   600.290	     0.030	      81.7	      81.7	       0.0
[pyrunlim] sample:		   610.514	   610.450	     0.030	      81.7	      81.7	       0.0
[pyrunlim] sample:		   620.670	   620.600	     0.030	      81.7	      81.7	       0.0
[pyrunlim] sample:		   630.828	   630.760	     0.030	      81.7	      81.7	       0.0
[pyrunlim] sample:		   640.983	   640.910	     0.030	      81.7	      81.7	       0.0
[pyrunlim] sample:		   650.124	   650.050	     0.030	      81.7	      81.7	       0.0
[pyrunlim] sample:		   660.283	   660.210	     0.030	      81.7	      81.7	       0.0
[pyrunlim] sample:		   670.441	   670.370	     0.030	      81.7	      81.7	       0.0
[pyrunlim] sample:		   680.601	   680.530	     0.030	      81.7	      81.7	       0.0
[pyrunlim] sample:		   690.758	   690.690	     0.030	      84.0	      84.0	       0.0
[pyrunlim] sample:		   700.914	   700.840	     0.030	      84.0	      84.0	       0.0
[pyrunlim] sample:		   710.053	   709.980	     0.030	      84.0	      84.0	       0.0
[pyrunlim] sample:		   720.209	   720.140	     0.030	      84.8	      84.8	       0.0
[pyrunlim] sample:		   730.364	   730.290	     0.030	      84.8	      84.8	       0.0
[pyrunlim] sample:		   740.518	   740.450	     0.030	      84.8	      84.8	       0.0
[pyrunlim] sample:		   750.674	   750.600	     0.030	      84.8	      84.8	       0.0
[pyrunlim] sample:		   760.830	   760.760	     0.030	      84.8	      84.8	       0.0
[pyrunlim] sample:		   770.990	   770.920	     0.030	      84.8	      84.8	       0.0
[pyrunlim] sample:		   780.133	   780.060	     0.030	      84.8	      84.8	       0.0
[pyrunlim] sample:		   790.288	   790.210	     0.030	      84.8	      84.8	       0.0
[pyrunlim] sample:		   800.443	   800.370	     0.030	      84.8	      84.8	       0.0
[pyrunlim] sample:		   810.597	   810.530	     0.030	      84.8	      84.8	       0.0
[pyrunlim] sample:		   820.752	   820.680	     0.030	      84.8	      84.8	       0.0
[pyrunlim] sample:		   830.908	   830.830	     0.030	      84.8	      84.8	       0.0
[pyrunlim] sample:		   840.047	   839.970	     0.030	      84.8	      84.8	       0.0
[pyrunlim] sample:		   850.203	   850.130	     0.030	      84.8	      84.8	       0.0
[pyrunlim] sample:		   860.358	   860.290	     0.030	      84.8	      84.8	       0.0
[pyrunlim] sample:		   870.513	   870.440	     0.030	      84.8	      84.8	       0.0
[pyrunlim] sample:		   880.667	   880.590	     0.030	      84.8	      84.8	       0.0
[pyrunlim] sample:		   890.822	   890.750	     0.030	      84.8	      84.8	       0.0
[pyrunlim] sample:		   900.978	   900.910	     0.030	      84.8	      84.8	       0.0
[pyrunlim] sample:		   910.120	   910.040	     0.030	      84.8	      84.8	       0.0
[pyrunlim] sample:		   920.275	   920.200	     0.030	      84.8	      84.8	       0.0
[pyrunlim] sample:		   930.431	   930.360	     0.030	      84.8	      84.8	       0.0
[pyrunlim] sample:		   940.588	   940.510	     0.030	      84.8	      84.8	       0.0
[pyrunlim] sample:		   950.743	   950.670	     0.030	      84.8	      84.8	       0.0
[pyrunlim] sample:		   960.900	   960.820	     0.030	      84.8	      84.8	       0.0
[pyrunlim] sample:		   970.040	   969.960	     0.030	      84.8	      84.8	       0.0
[pyrunlim] sample:		   980.197	   980.120	     0.030	      86.1	      86.1	       0.0
[pyrunlim] sample:		   990.351	   990.280	     0.030	      86.1	      86.1	       0.0
[pyrunlim] sample:		  1000.507	  1000.430	     0.030	      86.1	      86.1	       0.0
[pyrunlim] sample:		  1010.664	  1010.590	     0.030	      86.1	      86.1	       0.0
[pyrunlim] sample:		  1020.822	  1020.750	     0.030	      86.1	      86.1	       0.0
[pyrunlim] sample:		  1030.978	  1030.900	     0.030	      86.1	      86.1	       0.0
