[pyrunlim] version:		2.16
[pyrunlim] time limit:		3600 seconds
[pyrunlim] memory limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] real time limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
[pyrunlim] swap limit:		10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] pyrunlim cpu affin.:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] cpu affinity:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] nice:		20
[pyrunlim] running:		bash -c "./wrapper_clingo.py solution_14_8_n1 /home/emarolab/ASP/CAPF/ASP/clingo/data/14_8/14_8_n1.asp 14_8"
[pyrunlim] start:		Thu Jan 18 13:19:40 2018
[pyrunlim] columns:		real (s)	user (s)	sys (s)  	max memory (MB)	rss (MB)   	swap (MB)
[pyrunlim] sample:		    10.011	     9.950	     0.030	     114.1	     114.1	       0.0
[pyrunlim] sample:		    20.324	    20.260	     0.030	     114.1	     114.1	       0.0
[pyrunlim] sample:		    31.000	    30.940	     0.030	     114.1	     114.1	       0.0
[pyrunlim] sample:		    40.147	    40.090	     0.030	     114.1	     114.1	       0.0
[pyrunlim] sample:		    50.307	    50.250	     0.030	     114.1	     114.1	       0.0
[pyrunlim] sample:		    60.469	    60.410	     0.030	     114.1	     114.1	       0.0
[pyrunlim] sample:		    70.631	    70.570	     0.030	     114.1	     114.1	       0.0
[pyrunlim] sample:		    80.790	    80.720	     0.040	     114.9	     114.9	       0.0
[pyrunlim] sample:		    90.947	    90.880	     0.040	     114.9	     114.9	       0.0
[pyrunlim] sample:		   100.090	   100.020	     0.040	     114.9	     114.9	       0.0
[pyrunlim] sample:		   110.251	   110.180	     0.040	     114.9	     114.9	       0.0
[pyrunlim] sample:		   120.410	   120.340	     0.040	     114.9	     114.9	       0.0
[pyrunlim] sample:		   130.570	   130.500	     0.040	     114.9	     114.9	       0.0
[pyrunlim] sample:		   140.731	   140.660	     0.040	     114.9	     114.9	       0.0
[pyrunlim] sample:		   150.893	   150.820	     0.040	     114.9	     114.9	       0.0
[pyrunlim] sample:		   160.036	   159.970	     0.040	     114.9	     114.9	       0.0
[pyrunlim] sample:		   170.197	   170.130	     0.040	     114.9	     114.9	       0.0
[pyrunlim] sample:		   180.360	   180.290	     0.040	     114.9	     114.9	       0.0
[pyrunlim] sample:		   190.522	   190.460	     0.040	     114.9	     114.9	       0.0
[pyrunlim] sample:		   200.683	   200.620	     0.040	     114.9	     114.9	       0.0
[pyrunlim] sample:		   210.843	   210.780	     0.040	     114.9	     114.9	       0.0
[pyrunlim] sample:		   221.003	   220.930	     0.040	     114.9	     114.9	       0.0
[pyrunlim] sample:		   230.146	   230.080	     0.040	     114.9	     114.9	       0.0
[pyrunlim] sample:		   240.307	   240.240	     0.040	     114.9	     114.9	       0.0
[pyrunlim] sample:		   250.466	   250.400	     0.040	     114.9	     114.9	       0.0
[pyrunlim] sample:		   260.626	   260.560	     0.040	     114.9	     114.9	       0.0
[pyrunlim] sample:		   270.785	   270.710	     0.040	     114.9	     114.9	       0.0
[pyrunlim] sample:		   280.943	   280.870	     0.040	     114.9	     114.9	       0.0
[pyrunlim] sample:		   290.086	   290.020	     0.040	     114.9	     114.9	       0.0
[pyrunlim] sample:		   300.247	   300.180	     0.040	     114.9	     114.9	       0.0
[pyrunlim] sample:		   310.408	   310.340	     0.040	     114.9	     114.9	       0.0
[pyrunlim] sample:		   320.569	   320.500	     0.040	     114.9	     114.9	       0.0
[pyrunlim] sample:		   330.731	   330.660	     0.040	     114.9	     114.9	       0.0
[pyrunlim] sample:		   340.890	   340.820	     0.040	     114.9	     114.9	       0.0
[pyrunlim] sample:		   350.034	   349.970	     0.040	     114.9	     114.9	       0.0
[pyrunlim] sample:		   360.195	   360.120	     0.040	     114.9	     114.9	       0.0
[pyrunlim] sample:		   370.358	   370.290	     0.040	     114.9	     114.9	       0.0
[pyrunlim] sample:		   380.521	   380.450	     0.040	     115.4	     115.4	       0.0
[pyrunlim] sample:		   390.684	   390.610	     0.040	     115.4	     115.4	       0.0
[pyrunlim] sample:		   400.848	   400.780	     0.040	     115.4	     115.4	       0.0
[pyrunlim] sample:		   411.011	   410.940	     0.040	     115.4	     115.4	       0.0
[pyrunlim] sample:		   420.157	   420.080	     0.040	     115.4	     115.4	       0.0
[pyrunlim] sample:		   430.319	   430.250	     0.040	     115.4	     115.4	       0.0
[pyrunlim] sample:		   440.482	   440.410	     0.040	     115.4	     115.4	       0.0
[pyrunlim] sample:		   450.678	   450.600	     0.040	     115.4	     115.4	       0.0
[pyrunlim] sample:		   460.911	   460.840	     0.040	     115.4	     115.4	       0.0
[pyrunlim] sample:		   470.127	   470.060	     0.040	     115.4	     115.4	       0.0
[pyrunlim] sample:		   480.365	   480.290	     0.040	     115.4	     115.4	       0.0
[pyrunlim] sample:		   490.535	   490.460	     0.040	     115.4	     115.4	       0.0
[pyrunlim] sample:		   500.697	   500.620	     0.040	     115.4	     115.4	       0.0
[pyrunlim] sample:		   510.857	   510.790	     0.040	     115.4	     115.4	       0.0
[pyrunlim] sample:		   520.003	   519.930	     0.040	     115.4	     115.4	       0.0
[pyrunlim] sample:		   530.164	   530.090	     0.040	     115.4	     115.4	       0.0
[pyrunlim] sample:		   540.324	   540.250	     0.040	     115.4	     115.4	       0.0
[pyrunlim] sample:		   550.487	   550.410	     0.040	     115.4	     115.4	       0.0
[pyrunlim] sample:		   560.646	   560.570	     0.040	     115.4	     115.4	       0.0
[pyrunlim] sample:		   570.806	   570.730	     0.040	     115.4	     115.4	       0.0
[pyrunlim] sample:		   580.966	   580.890	     0.040	     115.4	     115.4	       0.0
[pyrunlim] sample:		   590.109	   590.030	     0.040	     115.4	     115.4	       0.0
[pyrunlim] sample:		   600.267	   600.190	     0.040	     115.4	     115.4	       0.0
[pyrunlim] sample:		   610.430	   610.360	     0.040	     115.4	     115.4	       0.0
[pyrunlim] sample:		   620.591	   620.520	     0.040	     115.4	     115.4	       0.0
[pyrunlim] sample:		   630.751	   630.680	     0.040	     115.4	     115.4	       0.0
[pyrunlim] sample:		   640.914	   640.840	     0.040	     115.4	     115.4	       0.0
[pyrunlim] sample:		   650.060	   649.980	     0.040	     115.4	     115.4	       0.0
[pyrunlim] sample:		   660.223	   660.150	     0.040	     115.4	     115.4	       0.0
[pyrunlim] sample:		   670.385	   670.310	     0.040	     115.4	     115.4	       0.0
[pyrunlim] sample:		   680.547	   680.470	     0.040	     115.4	     115.4	       0.0
[pyrunlim] sample:		   690.709	   690.630	     0.040	     115.4	     115.4	       0.0
[pyrunlim] sample:		   700.871	   700.800	     0.040	     115.4	     115.4	       0.0
[pyrunlim] sample:		   710.013	   709.940	     0.040	     115.4	     115.4	       0.0
[pyrunlim] sample:		   720.171	   720.100	     0.040	     115.4	     115.4	       0.0
[pyrunlim] sample:		   730.330	   730.260	     0.040	     115.4	     115.4	       0.0
[pyrunlim] sample:		   740.490	   740.420	     0.040	     115.4	     115.4	       0.0
[pyrunlim] sample:		   750.649	   750.580	     0.040	     115.4	     115.4	       0.0
[pyrunlim] sample:		   760.809	   760.730	     0.040	     115.4	     115.4	       0.0
[pyrunlim] sample:		   770.969	   770.890	     0.040	     115.4	     115.4	       0.0
[pyrunlim] sample:		   780.114	   780.040	     0.040	     115.4	     115.4	       0.0
[pyrunlim] sample:		   790.274	   790.200	     0.040	     115.4	     115.4	       0.0
[pyrunlim] sample:		   800.439	   800.360	     0.040	     115.4	     115.4	       0.0
[pyrunlim] sample:		   810.602	   810.530	     0.040	     115.4	     115.4	       0.0
[pyrunlim] sample:		   820.766	   820.690	     0.040	     115.4	     115.4	       0.0
[pyrunlim] sample:		   830.926	   830.850	     0.040	     115.4	     115.4	       0.0
[pyrunlim] sample:		   840.067	   839.990	     0.040	     115.4	     115.4	       0.0
[pyrunlim] sample:		   850.226	   850.150	     0.040	     115.4	     115.4	       0.0
[pyrunlim] sample:		   860.383	   860.310	     0.040	     115.4	     115.4	       0.0
[pyrunlim] sample:		   870.544	   870.470	     0.040	     115.4	     115.4	       0.0
[pyrunlim] sample:		   880.706	   880.630	     0.040	     115.4	     115.4	       0.0
[pyrunlim] sample:		   890.869	   890.790	     0.040	     115.4	     115.4	       0.0
[pyrunlim] sample:		   900.016	   899.940	     0.040	     115.4	     115.4	       0.0
[pyrunlim] sample:		   910.179	   910.100	     0.040	     115.4	     115.4	       0.0
