[pyrunlim] version:		2.16
[pyrunlim] time limit:		3600 seconds
[pyrunlim] memory limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] real time limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
[pyrunlim] swap limit:		10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] pyrunlim cpu affin.:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] cpu affinity:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] nice:		20
[pyrunlim] running:		bash -c "./wrapper_clingo.py solution_14_9_n5 /home/emarolab/ASP/CAPF/ASP/clingo/data/14_9/14_9_n5.asp 14_9"
[pyrunlim] start:		Sun Jan 21 11:00:57 2018
[pyrunlim] columns:		real (s)	user (s)	sys (s)  	max memory (MB)	rss (MB)   	swap (MB)
[pyrunlim] sample:		    10.076	     0.140	     0.000	      27.2	      10.0	       0.0
[pyrunlim] sample:		    20.413	     2.380	     0.020	      76.9	      10.0	       0.0
[pyrunlim] sample:		    30.095	     4.380	     0.070	     110.4	      26.6	       0.0
[pyrunlim] sample:		    40.276	    11.740	     0.130	     131.8	     131.8	       0.0
[pyrunlim] sample:		    50.438	    19.100	     0.170	     143.0	     143.0	       0.0
[pyrunlim] sample:		    60.593	    29.260	     0.170	     143.0	     143.0	       0.0
[pyrunlim] sample:		    70.748	    39.410	     0.170	     143.0	     143.0	       0.0
[pyrunlim] sample:		    80.908	    46.810	     0.200	     143.0	     122.4	       0.0
[pyrunlim] sample:		    90.050	    55.940	     0.200	     155.6	     155.6	       0.0
[pyrunlim] sample:		   100.208	    66.100	     0.200	     155.6	     155.6	       0.0
[pyrunlim] sample:		   110.365	    76.260	     0.200	     156.6	     156.6	       0.0
[pyrunlim] sample:		   120.521	    86.410	     0.200	     156.6	     156.6	       0.0
[pyrunlim] sample:		   130.679	    96.570	     0.200	     156.6	     156.6	       0.0
[pyrunlim] sample:		   140.837	   106.730	     0.200	     156.6	     156.6	       0.0
[pyrunlim] sample:		   150.994	   116.880	     0.200	     156.6	     156.6	       0.0
[pyrunlim] sample:		   160.136	   126.030	     0.200	     156.6	     156.6	       0.0
[pyrunlim] sample:		   170.293	   136.180	     0.200	     156.6	     156.6	       0.0
[pyrunlim] sample:		   180.449	   146.340	     0.200	     156.6	     156.6	       0.0
[pyrunlim] sample:		   190.606	   156.490	     0.210	     164.9	     164.9	       0.0
[pyrunlim] sample:		   200.764	   166.650	     0.210	     164.9	     164.9	       0.0
[pyrunlim] sample:		   210.922	   176.810	     0.210	     164.9	     164.9	       0.0
[pyrunlim] sample:		   220.065	   185.950	     0.210	     164.9	     164.9	       0.0
[pyrunlim] sample:		   230.226	   196.110	     0.210	     164.9	     164.9	       0.0
[pyrunlim] sample:		   240.387	   206.270	     0.210	     164.9	     164.9	       0.0
[pyrunlim] sample:		   250.549	   216.430	     0.210	     164.9	     164.9	       0.0
[pyrunlim] sample:		   260.711	   226.590	     0.210	     164.9	     164.9	       0.0
[pyrunlim] sample:		   270.872	   236.760	     0.210	     164.9	     164.9	       0.0
[pyrunlim] sample:		   280.018	   245.900	     0.210	     164.9	     164.9	       0.0
[pyrunlim] sample:		   290.179	   256.070	     0.210	     164.9	     164.9	       0.0
[pyrunlim] sample:		   300.342	   266.230	     0.210	     164.9	     164.9	       0.0
[pyrunlim] sample:		   310.502	   276.390	     0.210	     164.9	     164.9	       0.0
[pyrunlim] sample:		   320.663	   286.550	     0.210	     164.9	     164.9	       0.0
[pyrunlim] sample:		   330.824	   296.710	     0.210	     164.9	     164.9	       0.0
[pyrunlim] sample:		   340.985	   306.870	     0.210	     164.9	     164.9	       0.0
[pyrunlim] sample:		   350.131	   316.010	     0.210	     164.9	     164.9	       0.0
[pyrunlim] sample:		   360.293	   326.180	     0.210	     164.9	     164.9	       0.0
[pyrunlim] sample:		   370.457	   336.340	     0.210	     164.9	     164.9	       0.0
[pyrunlim] sample:		   380.625	   344.470	     0.210	     164.9	      10.0	       0.0
[pyrunlim] sample:		   390.784	   354.590	     0.240	     167.2	     167.2	       0.0
[pyrunlim] sample:		   400.944	   364.750	     0.240	     167.2	     167.2	       0.0
[pyrunlim] sample:		   410.087	   373.890	     0.240	     167.2	     167.2	       0.0
[pyrunlim] sample:		   420.246	   384.050	     0.240	     167.2	     167.2	       0.0
[pyrunlim] sample:		   430.404	   394.200	     0.240	     167.2	     167.2	       0.0
[pyrunlim] sample:		   440.563	   404.360	     0.240	     167.2	     167.2	       0.0
[pyrunlim] sample:		   450.723	   414.520	     0.240	     167.2	     167.2	       0.0
[pyrunlim] sample:		   460.881	   424.680	     0.240	     167.2	     167.2	       0.0
[pyrunlim] sample:		   470.025	   433.820	     0.240	     167.2	     167.2	       0.0
[pyrunlim] sample:		   480.185	   443.980	     0.240	     167.2	     167.2	       0.0
[pyrunlim] sample:		   490.346	   454.140	     0.240	     167.2	     167.2	       0.0
[pyrunlim] sample:		   500.508	   464.310	     0.240	     167.2	     167.2	       0.0
[pyrunlim] sample:		   510.669	   474.470	     0.240	     167.2	     167.2	       0.0
[pyrunlim] sample:		   520.830	   484.630	     0.240	     167.2	     167.2	       0.0
[pyrunlim] sample:		   530.992	   494.790	     0.240	     167.2	     167.2	       0.0
[pyrunlim] sample:		   540.137	   503.940	     0.240	     167.2	     167.2	       0.0
[pyrunlim] sample:		   550.297	   514.100	     0.240	     167.2	     167.2	       0.0
[pyrunlim] sample:		   560.457	   524.260	     0.240	     167.2	     167.2	       0.0
[pyrunlim] sample:		   570.619	   534.420	     0.240	     167.2	     167.2	       0.0
[pyrunlim] sample:		   580.778	   544.570	     0.240	     167.2	     167.2	       0.0
[pyrunlim] sample:		   590.939	   554.730	     0.240	     167.2	     167.2	       0.0
[pyrunlim] sample:		   600.083	   563.880	     0.240	     167.2	     167.2	       0.0
[pyrunlim] sample:		   610.243	   574.040	     0.240	     167.2	     167.2	       0.0
[pyrunlim] sample:		   620.402	   584.200	     0.240	     167.2	     167.2	       0.0
[pyrunlim] sample:		   630.563	   594.360	     0.240	     167.2	     167.2	       0.0
[pyrunlim] sample:		   640.724	   604.520	     0.240	     167.2	     167.2	       0.0
[pyrunlim] sample:		   650.885	   614.680	     0.240	     167.2	     167.2	       0.0
[pyrunlim] sample:		   660.029	   623.830	     0.240	     167.2	     167.2	       0.0
[pyrunlim] sample:		   670.191	   633.990	     0.240	     167.2	     167.2	       0.0
[pyrunlim] sample:		   680.351	   644.150	     0.240	     167.2	     167.2	       0.0
[pyrunlim] sample:		   690.511	   654.310	     0.240	     167.2	     167.2	       0.0
[pyrunlim] sample:		   700.669	   664.470	     0.240	     167.2	     167.2	       0.0
[pyrunlim] sample:		   710.829	   674.630	     0.240	     167.2	     167.2	       0.0
[pyrunlim] sample:		   720.989	   684.790	     0.240	     167.2	     167.2	       0.0
[pyrunlim] sample:		   730.133	   693.930	     0.240	     167.2	     167.2	       0.0
[pyrunlim] sample:		   740.292	   704.090	     0.240	     167.2	     167.2	       0.0
[pyrunlim] sample:		   750.452	   714.250	     0.240	     167.2	     167.2	       0.0
[pyrunlim] sample:		   760.613	   724.410	     0.240	     167.2	     167.2	       0.0
[pyrunlim] sample:		   770.772	   734.570	     0.240	     167.2	     167.2	       0.0
[pyrunlim] sample:		   780.933	   744.730	     0.240	     167.2	     167.2	       0.0
[pyrunlim] sample:		   790.077	   753.870	     0.240	     167.2	     167.2	       0.0
[pyrunlim] sample:		   800.236	   764.030	     0.240	     167.2	     167.2	       0.0
[pyrunlim] sample:		   810.394	   774.190	     0.240	     167.5	     167.5	       0.0
[pyrunlim] sample:		   820.551	   784.340	     0.240	     167.5	     167.5	       0.0
[pyrunlim] sample:		   830.708	   794.500	     0.240	     167.5	     167.5	       0.0
[pyrunlim] sample:		   840.866	   804.660	     0.240	     167.5	     167.5	       0.0
[pyrunlim] sample:		   850.008	   813.800	     0.240	     167.5	     167.5	       0.0
[pyrunlim] sample:		   860.166	   823.960	     0.240	     167.5	     167.5	       0.0
[pyrunlim] sample:		   870.324	   834.120	     0.240	     167.5	     167.5	       0.0
[pyrunlim] sample:		   880.481	   844.280	     0.240	     167.5	     167.5	       0.0
[pyrunlim] sample:		   890.637	   854.430	     0.240	     167.5	     167.5	       0.0
[pyrunlim] sample:		   900.795	   864.590	     0.240	     167.5	     167.5	       0.0
[pyrunlim] sample:		   910.954	   874.750	     0.240	     167.5	     167.5	       0.0
[pyrunlim] sample:		   920.096	   883.890	     0.240	     167.5	     167.5	       0.0
[pyrunlim] sample:		   930.254	   894.050	     0.240	     167.5	     167.5	       0.0
[pyrunlim] sample:		   940.413	   904.210	     0.240	     167.5	     167.5	       0.0
[pyrunlim] sample:		   950.572	   914.360	     0.240	     167.5	     167.5	       0.0
[pyrunlim] sample:		   960.730	   924.520	     0.240	     167.5	     167.5	       0.0
[pyrunlim] sample:		   970.889	   934.680	     0.240	     167.5	     167.5	       0.0
[pyrunlim] sample:		   980.032	   943.830	     0.240	     167.5	     167.5	       0.0
[pyrunlim] sample:		   990.192	   953.990	     0.240	     167.5	     167.5	       0.0
[pyrunlim] sample:		  1000.353	   964.150	     0.240	     167.5	     167.5	       0.0
[pyrunlim] sample:		  1010.514	   974.310	     0.240	     167.5	     167.5	       0.0
[pyrunlim] sample:		  1020.674	   984.470	     0.240	     167.5	     167.5	       0.0
[pyrunlim] sample:		  1030.834	   994.630	     0.240	     167.5	     167.5	       0.0
[pyrunlim] sample:		  1040.993	  1004.790	     0.240	     167.5	     167.5	       0.0
[pyrunlim] sample:		  1050.136	  1013.930	     0.240	     167.5	     167.5	       0.0
[pyrunlim] sample:		  1060.296	  1024.090	     0.240	     167.5	     167.5	       0.0
[pyrunlim] sample:		  1070.456	  1034.250	     0.240	     167.5	     167.5	       0.0
[pyrunlim] sample:		  1080.615	  1044.400	     0.240	     167.5	     167.5	       0.0
[pyrunlim] sample:		  1090.774	  1054.560	     0.240	     167.5	     167.5	       0.0
[pyrunlim] sample:		  1100.933	  1064.720	     0.240	     167.5	     167.5	       0.0
[pyrunlim] sample:		  1110.076	  1073.870	     0.240	     167.5	     167.5	       0.0
[pyrunlim] sample:		  1120.234	  1084.020	     0.240	     167.5	     167.5	       0.0
[pyrunlim] sample:		  1130.393	  1094.180	     0.240	     167.5	     167.5	       0.0
[pyrunlim] sample:		  1140.552	  1104.340	     0.240	     167.5	     167.5	       0.0
[pyrunlim] sample:		  1150.711	  1114.500	     0.240	     167.5	     167.5	       0.0
[pyrunlim] sample:		  1160.871	  1124.660	     0.240	     167.5	     167.5	       0.0
[pyrunlim] sample:		  1170.014	  1133.800	     0.240	     167.5	     167.5	       0.0
