[pyrunlim] version:		2.16
[pyrunlim] time limit:		3600 seconds
[pyrunlim] memory limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] real time limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
[pyrunlim] swap limit:		10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] pyrunlim cpu affin.:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] cpu affinity:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] nice:		20
[pyrunlim] running:		bash -c "./wrapper_clingo.py solution_7_18_n8 /home/emarolab/ASP/CAPF/ASP/clingo/data/7_18/7_18_n8.asp 7_18"
[pyrunlim] start:		Mon Jan 22 13:26:31 2018
[pyrunlim] columns:		real (s)	user (s)	sys (s)  	max memory (MB)	rss (MB)   	swap (MB)
[pyrunlim] sample:		    10.101	     0.520	     0.000	      44.3	      10.1	       0.0
[pyrunlim] sample:		    20.464	     3.740	     0.050	     118.1	      10.1	       0.0
[pyrunlim] sample:		    30.145	     7.400	     0.100	     148.9	      10.1	       0.0
[pyrunlim] sample:		    40.314	    14.850	     0.180	     188.3	     185.5	       0.0
[pyrunlim] sample:		    50.486	    22.600	     0.210	     205.1	     203.8	       0.0
[pyrunlim] sample:		    60.657	    30.490	     0.260	     221.9	     221.5	       0.0
[pyrunlim] sample:		    70.823	    40.660	     0.260	     221.9	     221.5	       0.0
[pyrunlim] sample:		    81.000	    48.790	     0.260	     221.9	      10.1	       0.0
[pyrunlim] sample:		    90.149	    57.570	     0.320	     250.5	     240.8	       0.0
[pyrunlim] sample:		   100.318	    67.740	     0.320	     250.5	     240.8	       0.0
[pyrunlim] sample:		   110.487	    77.910	     0.320	     250.5	     240.8	       0.0
[pyrunlim] sample:		   120.655	    88.070	     0.320	     250.5	     240.8	       0.0
[pyrunlim] sample:		   130.826	    98.250	     0.320	     250.5	     240.8	       0.0
[pyrunlim] sample:		   140.995	   108.410	     0.320	     250.5	     240.8	       0.0
[pyrunlim] sample:		   150.148	   117.570	     0.320	     250.5	     240.8	       0.0
[pyrunlim] sample:		   160.316	   127.730	     0.320	     250.5	     240.8	       0.0
[pyrunlim] sample:		   170.486	   135.830	     0.370	     270.0	     259.3	       0.0
[pyrunlim] sample:		   180.654	   146.000	     0.370	     270.0	     259.3	       0.0
[pyrunlim] sample:		   190.822	   156.170	     0.370	     270.0	     259.3	       0.0
[pyrunlim] sample:		   200.993	   166.330	     0.370	     270.0	     259.3	       0.0
[pyrunlim] sample:		   210.147	   175.490	     0.370	     270.0	     259.3	       0.0
[pyrunlim] sample:		   220.317	   185.660	     0.370	     270.0	     259.3	       0.0
[pyrunlim] sample:		   230.489	   195.830	     0.370	     270.0	     259.3	       0.0
[pyrunlim] sample:		   240.657	   206.000	     0.370	     270.0	     259.3	       0.0
[pyrunlim] sample:		   250.826	   216.170	     0.370	     270.0	     259.3	       0.0
[pyrunlim] sample:		   260.996	   226.340	     0.370	     270.0	     259.3	       0.0
[pyrunlim] sample:		   270.150	   235.490	     0.370	     270.0	     259.3	       0.0
[pyrunlim] sample:		   280.329	   243.620	     0.370	     270.0	      10.1	       0.0
[pyrunlim] sample:		   290.497	   253.170	     0.440	     291.7	     280.3	       0.0
[pyrunlim] sample:		   300.670	   263.350	     0.440	     291.7	     280.3	       0.0
[pyrunlim] sample:		   310.841	   273.510	     0.440	     291.7	     280.3	       0.0
[pyrunlim] sample:		   321.012	   283.690	     0.440	     291.7	     280.3	       0.0
[pyrunlim] sample:		   330.165	   292.840	     0.440	     291.7	     280.3	       0.0
[pyrunlim] sample:		   340.337	   303.010	     0.440	     291.7	     280.3	       0.0
[pyrunlim] sample:		   350.508	   313.180	     0.440	     291.7	     280.3	       0.0
[pyrunlim] sample:		   360.677	   323.350	     0.440	     291.7	     280.3	       0.0
[pyrunlim] sample:		   370.848	   333.520	     0.440	     291.7	     280.3	       0.0
[pyrunlim] sample:		   380.003	   342.680	     0.440	     291.7	     280.3	       0.0
[pyrunlim] sample:		   390.174	   352.840	     0.440	     291.7	     280.3	       0.0
[pyrunlim] sample:		   400.343	   363.020	     0.440	     291.7	     280.3	       0.0
[pyrunlim] sample:		   410.513	   373.180	     0.440	     291.7	     280.3	       0.0
